date,entities_hashtags_count_dict
2022-12-24,"{wolkenhimmel -> 43, wolken -> 20, streetphotography -> 16, sky -> 12, photography -> 12, nature -> 11, himmel -> 10, bnwphotography -> 10, blackandwhitephoto -> 10, blackandwhite -> 10, abstract -> 10, NaturePhotography -> 10}"
2023-01-03,"{台湾 -> 27, 台南 -> 27, streetphotography -> 20, photooftheday -> 17, photography -> 17, nature -> 13, monochrome -> 10, madryn -> 10}"
2022-12-03,"{streetphotography -> 23, photography -> 18, nature -> 15, blackandwhitephotography -> 14, art -> 12, WomensArt -> 10}"
2023-01-13,"{photography -> 21, mobileshot -> 15, art -> 11, NaturePhotography -> 11}"
2023-01-14,"{台湾 -> 27, 台南 -> 23, streetphotography -> 17, photography -> 17, blackandwhitephotography -> 17, blackandwhitephoto -> 13, blackandwhite -> 13, ThePhotoHour -> 10, Portugal -> 10, NaturePhotography -> 10}"
2023-01-06,"{台湾 -> 47, 台南 -> 31, streetphotography -> 28, photography -> 16, nature -> 15, monochrome -> 15, blackandwhitephotography -> 14, blackandwhitephoto -> 14, abstract -> 11, SIGMAfpL -> 11, SIGMA -> 11, AfricanArt -> 10}"
2022-12-07,"{台湾 -> 20, 台南 -> 17, photography -> 14, nature -> 14, Vermont -> 12, NaturePhotography -> 11, Greece -> 11, GreatPaintingsByOldMasters -> 10}"
2022-12-18,"{台湾 -> 34, 台南 -> 30, streetphotography -> 20, sigma -> 18, photooftheday -> 18, photography -> 17, photograph -> 17, photo -> 14, nature -> 13, monochrome -> 13, fujifilm_xseries -> 12, bnwphotography -> 12, blackandwhitephotography -> 12, blackandwhite -> 10, art -> 10, ThePhotoHour -> 10, StormHour -> 10, NaturePhotography -> 10}"
2023-01-22,"{台湾 -> 22, 台南 -> 21, streetphotography -> 20, photography -> 18, monochrome -> 18, fujifilm_xseries -> 16, blackandwhitephotography -> 16, art -> 16, ThePhotoHour -> 14, StormHour -> 12, Roma -> 10, Paris -> 10}"
2022-12-13,"{nature -> 12, blackandwhitephotography -> 10}"
2023-01-04,"{台湾 -> 53, 台南 -> 47, 写真好きな人と繋がりたい -> 32, 写真 -> 32, streetphotography -> 29, photography -> 18, nature -> 17, monochrome -> 15, blackandwhitephotography -> 14, art -> 12, PhotoOfTheDay -> 12, NaturePhotography -> 10, Monochrome -> 10}"
2022-11-26,"{photography -> 29, nature -> 20, landscapephotography -> 15, blackandwhitephotography -> 14, art -> 14, abstract -> 12, Vermont -> 11, Photography -> 10, Nikon -> 10}"
2022-11-27,"{台湾 -> 18, 台南 -> 18, photography -> 14, photo -> 14, nature -> 10}"
2023-01-24,"{streetphotography -> 32, photography -> 21, nature -> 16, blackandwhitephotography -> 14, blackandwhite -> 14, Vermont -> 12, NaturePhotography -> 11}"
2023-01-20,"{photography -> 11, blackandwhitephotography -> 11, ThePhotoHour -> 11, NaturePhotography -> 10}"
2023-01-27,{photography -> 16}
2022-12-16,"{photography -> 13, nature -> 11, art -> 10}"
2023-01-29,"{streetphotography -> 23, photography -> 12, art -> 10}"
2022-12-01,"{streetphotography -> 25, portugal -> 19, photography -> 19, photoart -> 19, nature -> 18, blackandwhitephotography -> 16, blackandwhitephoto -> 13, blackandwhite -> 11, art -> 11, Art -> 10, 2022Moods -> 10}"
2023-01-16,"{台湾 -> 21, 台南 -> 21, streetphotography -> 18, photography -> 15}"
2023-01-30,"{photography -> 32, nature -> 14, monochrome -> 13, fujifilm_xseries -> 12, blackandwhitephotography -> 12, art -> 10}"
2023-01-09,"{台湾 -> 34, 台南 -> 31, streetphotography -> 31, photography -> 27, noedit -> 20, monochrome -> 19, blackandwhitephotography -> 18, VirtualCollection -> 17, ThePhotoHour -> 16, NaturePhotography -> 15, NativeDigital -> 12, Art -> 12}"
2023-01-15,"{photography -> 22, nature -> 15, fujifilm_xseries -> 12, Spain -> 10}"
2023-01-23,"{台湾 -> 29, 台南 -> 25, streetphotography -> 14, photography -> 13, nature -> 13, blackandwhitephotography -> 12}"
2022-11-25,"{photography -> 23, nature -> 20, blackandwhitephoto -> 13, blackandwhite -> 12, LightandShade -> 11}"
2022-12-14,"{photography -> 18, photo -> 13}"
2023-01-17,"{streetphotography -> 22, photography -> 17, blackandwhitephotography -> 12}"
2023-01-08,"{streetphotography -> 68, photography -> 43, photo -> 29, nature -> 24, monochromephotography -> 19, monochrome -> 19, inspo -> 16, blackandwhitephotography -> 12, biancoenero -> 11, art -> 11, abstract -> 11, NaturePhotography -> 10, NFT -> 10}"
2023-01-18,{blackandwhitephotography -> 10}
2022-11-30,"{台湾 -> 18, 台南 -> 18, photography -> 13, nature -> 10}"
